patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,196667412275,08/05/1954,0836298090,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tim mạch,4.74,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,803710629806,09/07/1948,0728040912,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tim mạch,7.82,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,152318830815,15/11/1963,0861045646,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Khỏe mạnh,4.76,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,472733761251,03/12/1968,0902141224,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Huyết áp cao,5.54,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,700903446829,03/09/1971,0717304136,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Huyết áp cao,7.63,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,517385986853,21/02/1968,0964006690,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Huyết áp cao,11.21,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,633759940808,22/03/1938,0896314559,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,8.8,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,461044340471,24/09/1942,0941405194,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Huyết áp cao,10.36,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,488309264525,14/11/2000,0543696147,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,7.19,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,884204040151,25/08/1960,0803885868,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Huyết áp cao,8.88,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,493335826555,19/12/1948,0959257530,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tiểu đường,6.38,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,948738381154,06/11/2001,0578448056,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tim mạch,6.84,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,557549563399,13/12/1963,0914028314,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tim mạch,6.21,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,263850798119,19/08/1965,0330372119,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Huyết áp cao,8.9,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,359371771675,03/07/1994,0352649695,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Tim mạch,4.47,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,333289973940,20/06/1961,0355432965,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Huyết áp cao,11.32,Anh Minh Dương,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Vũ Hải Vũ,039376669296,06/12/1965,0578959378,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Khỏe mạnh,6.9,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,734129620201,16/11/1951,0537287537,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Huyết áp cao,9.35,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,559840786834,10/04/1967,0893437042,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Tiểu đường,7.19,Quý cô Hồng Hoàng,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Nhật Văn Đặng,835677328364,01/01/1976,0337863723,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tim mạch,11.54,Nhật Xuân Dương,25/01/2026
